(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Denpasar;Bali;Male;34;Protestant;Java;Diploma;11;Enterpreneur;Upper Class;6;9:06;Monthly;9:05;27;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;
Denpasar;Bali;Male;39;Islam;Java;Diploma;13;Enterpreneur;Lower Class;6;3:06;Daily;3:05;67;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;26;Catholic;Other;Diploma;26;Government Employees;Middle Class;6;5:07;Weekly;5:06;36;Disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Agree;Disagree;Disagree;
Denpasar;Bali;Male;52;Catholic;Other;Senior High School;52;Government Employees;Middle Class;5;6:04;Weekly;6:03;42;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;37;Catholic;Java;Diploma;21;Government Employees;Lower Class;6;3:04;Daily;3:03;73;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;32;Catholic;Bali;Master and doctoral degree;32;Government Employees;Middle Class;5;2:09;Weekly;2:08;41;Disagree;Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Strongly Agree;Disagree;Disagree;
Denpasar;Bali;Female;25;Hindu;Bali;Master and doctoral degree;25;Government Employees;Middle Class;5;5:06;Weekly;5:05;33;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;31;Hindu;Bali;Senior High School;31;Government Employees;Upper Class;5;11:02;Monthly;11:01;19;Strongly Agree;Disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Disagree;Strongly Agree;Disagree;Disagree;
Denpasar;Bali;Female;37;Protestant;Bali;Diploma;37;Government Employees;Lower Class;6;3:07;Daily;3:06;69;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;52;Protestant;Bali;Senior High School;52;Enterpreneur;Upper Class;6;10:06;Monthly;10:05;23;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;50;Hindu;Bali;Senior High School;20;Enterpreneur;Upper Class;6;11:02;Monthly;11:01;25;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;51;Hindu;Bali;Bachelor degree;21;Enterpreneur;Lower Class;6;3:08;Daily;3:07;57;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;
Denpasar;Bali;Female;50;Hindu;Bali;Senior High School;20;Enterpreneur;Middle Class;6;6:02;Weekly;6:01;43;Disagree;Disagree;Strongly Agree;Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Disagree;
Denpasar;Bali;Female;33;Hindu;Bali;Bachelor degree;33;Enterpreneur;Middle Class;7;5:08;Weekly;5:07;38;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;
Denpasar;Bali;Male;58;Hindu;Bali;Senior High School;18;Enterpreneur;Lower Class;6;3:01;Daily;3:00;61;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;25;Hindu;Bali;Senior High School;25;Independent Worker;Lower Class;6;3:04;Daily;3:03;58;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;29;Hindu;Bali;Senior High School;29;Independent Worker;Middle Class;6;5:06;Weekly;5:05;34;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Denpasar;Bali;Male;33;Hindu;Bali;Senior High School;13;Independent Worker;Upper Class;6;12:01;Monthly;12:00;26;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;34;Hindu;Bali;Diploma;34;Independent Worker;Lower Class;6;2:09;Daily;2:08;57;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;56;Hindu;Bali;Master and doctoral degree;56;Independent Worker;Upper Class;5;10:03;Monthly;10:02;24;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;
Denpasar;Bali;Female;32;Hindu;Bali;Diploma;32;Independent Worker;Upper Class;6;14:02;Monthly;14:01;27;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;45;Hindu;Bali;Master and doctoral degree;15;Private Employees;Lower Class;5;3:04;Daily;3:06;67;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Denpasar;Bali;Female;31;Hindu;Bali;Senior High School;31;Private Employees;Middle Class;5;6:07;Weekly;6:09;36;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Denpasar;Bali;Male;41;Protestant;Bali;Diploma;21;Private Employees;Middle Class;6;5:08;Weekly;6:00;42;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
